elapsed_s,SP_LPAC_INSTRUCTIONS,SP_FS_STAGE_1X_WAVES,SP_FS_STAGE_2X_WAVES,SP_QUADS,SP_CS_INVOCATIONS,SP_PIXELS,SP_LPAC_DRAWCALLS,SP_PI_WORKING_CYCLES,SP_WAVE_INPUT_CYCLES,SP_WAVE_OUTPUT_CYCLES,SP_WAVE_HWAVE_WAIT_CYCLES,SP_WAVE_HWAVE_SYNC,SP_OUTPUT_3D_PIXELS,SP_FULL_ALU_MAD_INSTRUCTIONS,SP_HALF_ALU_MAD_INSTRUCTIONS,SP_FULL_ALU_MUL_INSTRUCTIONS,SP_HALF_ALU_MUL_INSTRUCTIONS,SP_FULL_ALU_ADD_INSTRUCTIONS,SP_HALF_ALU_ADD_INSTRUCTIONS,SP_BARY_FP32_INSTRUCTIONS,SP_ALU_GPR_READ_CYCLES,SP_ALU_DATA_FORWARDING_CYCLES,SP_LM_FULL_CYCLES,SP_TEXTURE_FETCH_LATENCY_CYCLES
0.001513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.012097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.016302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.018076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.019829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
